feature,gain,cover,weight,gain_normalized,cover_normalized,weight_normalized
CLM_PMT_AMT,0,0,0,,,
length_of_stay,0,0,0,,,
payment_per_day,0,0,0,,,
diagnosis_code_count,0,0,0,,,
procedure_code_count,0,0,0,,,
hcpcs_code_count,0,0,0,,,
claim_day_of_week,0,0,0,,,
claim_is_weekend,0,0,0,,,
claim_month,0,0,0,,,
claim_quarter,0,0,0,,,
provider_claim_count,0,0,0,,,
provider_avg_payment,0,0,0,,,
provider_median_payment,0,0,0,,,
provider_std_payment,0,0,0,,,
provider_payment_cv,0,0,0,,,
provider_unique_patients,0,0,0,,,
provider_claims_per_patient,0,0,0,,,
provider_volume_percentile,0,0,0,,,
provider_avg_payment_percentile,0,0,0,,,
bene_claim_count,0,0,0,,,
bene_avg_payment,0,0,0,,,
bene_total_payment,0,0,0,,,
bene_std_payment,0,0,0,,,
bene_unique_providers,0,0,0,,,
bene_claim_span_days,0,0,0,,,
bene_claims_per_day,0,0,0,,,
bene_providers_per_claim,0,0,0,,,
bene_ip_claim_count,0,0,0,,,
bene_op_claim_count,0,0,0,,,
bene_ip_to_op_ratio,0,0,0,,,
age,0,0,0,,,
gender,0,0,0,,,
chronic_condition_count,0,0,0,,,
has_multiple_conditions,0,0,0,,,
has_high_cost_condition,0,0,0,,,
payment_zscore,0,0,0,,,
payment_percentile,0,0,0,,,
payment_deviation_from_provider_avg,0,0,0,,,
payment_deviation_from_bene_avg,0,0,0,,,
cost_per_condition,0,0,0,,,
